location,Базель,Базель,Базель,Базель
lat,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Базель Temperature [2 m elevation corrected],Базель Relative Humidity [2 m],Базель Wind Speed [10 m],Базель Wind Direction [10 m]
20220219T0000,7.5105286,72.0,25.764534,277.2243
20220219T0100,7.290529,71.0,25.241108,273.2705
20220219T0200,6.9305286,72.0,25.223133,272.45404
20220219T0300,6.3305287,74.0,26.319422,273.13635
20220219T0400,5.9605284,75.0,24.905132,274.14462
20220219T0500,5.1605287,76.0,22.691425,271.8183
20220219T0600,4.5905285,77.0,20.570463,274.0142
20220219T0700,4.2705283,78.0,18.751125,273.30188
20220219T0800,3.8705285,78.0,18.775301,274.3987
20220219T0900,4.6505284,73.0,21.9718,271.87787
20220219T1000,5.3905287,67.0,22.319998,270.0
20220219T1100,6.2105284,61.0,22.7057,267.27368
20220219T1200,6.9605284,57.0,24.842607,270.83032
20220219T1300,7.8105288,51.0,20.008356,278.2759
20220219T1400,8.360529,48.0,20.633371,276.009
20220219T1500,8.580529,46.0,20.240196,275.10217
20220219T1600,8.450529,47.0,18.0036,271.14575
20220219T1700,8.070529,49.0,15.856356,267.39746
20220219T1800,6.9705286,52.0,11.5199995,270.0
20220219T1900,5.8405285,57.0,9.346143,254.35776
20220219T2000,4.7505283,61.0,10.691453,225.0
20220219T2100,3.9805286,63.0,13.493999,223.91908
20220219T2200,4.0605288,62.0,15.03835,227.91084
20220219T2300,3.9805286,60.0,15.192682,233.67317
20220220T0000,4.2605286,55.0,16.563911,227.64255
20220220T0100,5.2605286,50.0,20.240198,231.49934
20220220T0200,5.9605284,54.0,23.686249,245.77226
20220220T0300,5.8805285,59.0,30.472675,255.63542
20220220T0400,4.9605284,65.0,32.90999,250.17755
20220220T0500,4.4105287,70.0,28.36471,246.0375
20220220T0600,4.4605284,73.0,23.933907,248.83875
20220220T0700,4.4405284,75.0,21.41319,253.39302
20220220T0800,4.7305284,75.0,22.657131,252.42874
20220220T0900,5.9705286,71.0,25.282152,250.0169
20220220T1000,7.5705285,66.0,27.09822,250.60219
20220220T1100,8.780529,63.0,27.77838,251.09543
20220220T1200,9.280529,63.0,28.019936,249.70242
20220220T1300,11.180529,57.0,29.723444,253.10135
20220220T1400,11.910529,55.0,25.045238,251.56506
20220220T1500,12.040529,55.0,29.337238,255.79324
20220220T1600,12.090529,54.0,28.006058,252.03087
20220220T1700,11.790529,55.0,26.654589,253.52313
20220220T1800,10.870529,57.0,24.40046,248.35556
20220220T1900,10.230529,59.0,22.59699,239.34933
20220220T2000,9.8005295,60.0,25.959969,236.30994
20220220T2100,9.760529,58.0,30.555498,235.561
20220220T2200,9.880529,59.0,31.062386,237.78345
20220220T2300,9.780529,60.0,38.044353,240.52411
20220221T0000,9.520529,62.0,38.49981,241.51782
20220221T0100,9.460529,61.0,40.01024,239.74356
20220221T0200,9.720529,59.0,34.860565,234.66867
20220221T0300,9.460529,62.0,40.502796,239.56027
20220221T0400,8.880529,65.0,43.14747,243.22116
20220221T0500,8.290529,67.0,43.498962,245.55606
20220221T0600,7.5805287,79.0,52.590813,271.96143
20220221T0700,5.6305285,73.0,34.114628,277.275
20220221T0800,5.0605288,72.0,30.602118,269.32596
20220221T0900,5.6005287,69.0,37.806854,271.09122
20220221T1000,5.3205285,67.0,35.728977,265.9555
20220221T1100,5.7205286,65.0,34.679794,265.23636
20220221T1200,5.6005287,66.0,36.0,270.0
20220221T1300,6.6305285,60.0,36.44722,266.03534
20220221T1400,6.7705283,59.0,34.561874,269.4032
20220221T1500,7.3005285,62.0,35.516148,259.48737
20220221T1600,7.1705284,67.0,36.0072,258.4654
20220221T1700,6.5905285,71.0,36.359997,258.57883
20220221T1800,6.1005287,75.0,37.191677,265.55878
20220221T1900,5.6905284,80.0,37.44,270.0
20220221T2000,5.9705286,79.0,38.89666,277.9801
20220221T2100,5.7405286,81.0,31.875755,288.43497
20220221T2200,5.1305285,82.0,22.218153,296.98022
20220221T2300,4.6305285,82.0,21.461555,292.6938
20220222T0000,4.5005283,83.0,21.068459,286.8868
20220222T0100,4.2105284,87.0,20.833395,279.95062
20220222T0200,4.290529,88.0,13.797912,262.50415
20220222T0300,4.3605285,87.0,20.16,270.0
20220222T0400,4.4805284,86.0,21.288757,273.87854
20220222T0500,4.7605286,86.0,21.791153,277.59464
20220222T0600,4.6505284,86.0,21.129885,278.82037
20220222T0700,4.4505286,87.0,17.28,270.0
20220222T0800,5.0005283,87.0,18.888851,262.3332
